name	d (m)	v1	v2	angle1 (deg)	angle2 (deg)	trackpoints
a185	117	v223	v224	80	-87	-0.369937,50.81388,0 -0.369029,50.813986,0 -0.368492,50.814049,0 -0.368367,50.814052,0 -0.368295,50.81405,0
a186	5	v224	v225	113	-67	-0.368295,50.81405,0 -0.368234,50.814034,0
a187	9	v224	v093	-23	-157	-0.368295,50.81405,0 -0.368321,50.814088,0 -0.368295,50.814127,0
a188	101	v221	v226	-5	175	-0.371368,50.829938,0 -0.371493,50.830844,0
a189	89	v221	v227	176	-2	-0.371368,50.829938,0 -0.371344,50.829711,0 -0.371312,50.829135,0
a190	262	v228	v229	-88	79	-0.391606,50.836623,0 -0.391811,50.836627,0 -0.392317,50.836629,0 -0.392494,50.836632,0 -0.392579,50.836631,0 -0.392653,50.836624,0 -0.393567,50.836508,0 -0.395284,50.836296,0
a191	156	v228	v230	-178	2	-0.391606,50.836623,0 -0.391674,50.835224,0
a192	105	v228	v231	3	166	-0.391606,50.836623,0 -0.391559,50.837213,0 -0.391589,50.837389,0 -0.391658,50.837564,0
a193	30	v232	v186	4	-176	-0.367403,50.828272,0 -0.367373,50.828545,0
a194	94	v233	v234	-10	150	-0.395751,50.836245,0 -0.395869,50.836688,0 -0.395891,50.836752,0 -0.395922,50.836804,0 -0.395959,50.83685,0 -0.396139,50.837047,0
a195	33	v233	v229	80	-100	-0.395751,50.836245,0 -0.395284,50.836296,0
a196	286	v233	v235	-97	-86	-0.395751,50.836245,0 -0.39682,50.836162,0 -0.396801,50.835519,0 -0.396781,50.835142,0 -0.396763,50.834773,0 -0.396751,50.834731,0 -0.396731,50.834696,0 -0.396696,50.834659,0 -0.396634,50.834632,0 -0.396432,50.834616,0 -0.396109,50.834602,0
a197	64	v215	v236	-20	166	-0.367129,50.830073,0 -0.367349,50.830457,0 -0.367412,50.830617,0
a198	37	v215	v185	160	-9	-0.367129,50.830073,0 -0.367075,50.82998,0 -0.367015,50.829748,0
a199	50	v237	v238	84	-96	-0.396738,50.819285,0 -0.396035,50.819332,0
